Vernier Format 2
untitl.txt 2/5/126 20:38:17
Run 1
Time	Temperature	
T	T	
h	°C	

0.0	20.7	
0.2	20.7	
0.3	21.1	
0.5	21.3	
0.7	21.5	
0.8	21.5	
1.0	21.6	
1.2	21.7	
1.3	21.8	
1.5	21.8	
1.7	21.8	
1.8	21.8	
2.0	21.8	
2.2	22.1	
2.3	22.5	
2.5	22.8	
2.7	23.0	
2.8	23.1	
3.0	22.9	
3.2	22.8	
3.3	22.5	
3.5	22.2	
3.7	22.0	
3.8	21.8	
4.0	21.6	
4.2	21.5	
4.3	21.3	
4.5	21.3	
4.7	21.1	
4.8	21.1	
5.0	21.0	
5.2	21.0	
5.3	20.9	
5.5	20.9	
5.7	20.9	
5.8	20.9	
6.0	20.9	
6.2	20.8	
6.3	20.8	
6.5	20.8	
6.7	20.8	
6.8	20.7	
7.0	20.7	
7.2	20.7	
7.3	20.7	
7.5	20.6	
7.7	20.6	
7.8	20.6	
8.0	20.6	
8.2	20.7	
8.3	20.6	
8.5	20.6	
8.7	20.6	
8.8	20.5	
9.0	20.5	
9.2	20.5	
9.3	20.5	
9.5	20.5	
9.7	20.5	
9.8	20.4	
10.0	20.4	
10.2	20.3	
10.3	20.3	
10.5	20.3	
10.7	20.4	
10.8	20.2	
11.0	20.3	
11.2	20.3	
11.3	20.3	
11.5	20.3	
11.7	20.3	
11.8	20.3	
12.0	20.3	
12.2	20.4	
12.3	20.3	
12.5	20.4	
12.7	20.5	
12.8	20.5	
13.0	20.5	
13.2	20.6	
13.3	20.6	
13.5	20.6	
13.7	20.6	
13.8	20.7	
14.0	20.9	
14.2	21.3	
14.3	21.5	
14.5	21.7	
14.7	21.9	
14.8	22.0	
15.0	22.2	
15.2	22.3	
15.3	22.4	
15.5	22.5	
15.7	22.5	
15.8	22.6	
16.0	22.6	
16.2	22.7	
16.3	22.8	
16.5	22.9	
16.7	22.9	
16.8	22.7	
17.0	22.6	
17.2	22.5	
17.3	22.4	
17.5	22.6	
17.7	22.8	
17.8	23.0	
18.0	23.3	
18.2	23.5	
18.3	23.7	
18.5	23.8	
18.7	24.0	
18.8	24.0	
19.0	24.1	
19.2	24.2	
19.3	24.2	
19.5	24.3	
19.7	24.5	
19.8	24.6	
20.0	24.6	
20.2	24.8	
20.3	24.8	
20.5	24.9	
20.7	24.9	
20.8	24.9	
21.0	25.0	
21.2	25.1	
21.3	25.0	
21.5	24.9	
21.7	24.8	
21.8	24.7	
22.0	24.6	
22.2	24.6	
22.3	24.5	
22.5	24.3	
22.7	24.1	
22.8	24.1	
23.0	24.2	
23.2	24.1	
23.3	24.0	
23.5	24.0	
23.7	23.8	
23.8	23.6	
24.0	23.6	
