Vernier Format 2
afternoonwindow.txt 2/6/126 9:30:3
Run 1
Time	Illumination	
T	I	
s	lux	

0	259.8	
1	241.1	
2	276.8	
3	308.1	
4	278.6	
5	313.9	
6	345.4	
7	377.9	
8	370.0	
9	351.0	
10	355.9	
11	279.7	
12	278.2	
13	274.3	
14	290.2	
15	302.3	
16	288.9	
17	300.3	
18	257.4	
19	260.5	
20	251.4	
21	244.9	
22	212.4	
23	208.1	
24	233.8	
25	249.5	
26	243.9	
27	257.4	
28	269.7	
29	289.6	
30	296.2	
31	272.1	
32	245.6	
33	236.7	
34	216.5	
35	216.3	
36	221.2	
37	275.4	
38	278.8	
39	211.8	
40	148.2	
41	124.2	
42	90.2	
43	83.9	
44	23.4	
