Vernier Format 2
gp.txt 2/4/126 15:9:21
Run 1
Time	Temperature	
T	T	
s	°C	

0	22.5	
1	22.6	
2	22.5	
3	22.6	
4	22.6	
5	22.6	
6	22.6	
7	22.6	
8	22.6	
9	22.6	
10	22.6	
11	22.6	
12	22.6	
13	22.6	
14	22.7	
15	22.7	
16	22.7	
17	22.6	
18	22.6	
19	22.6	
20	22.6	
21	22.6	
22	22.6	
23	22.6	
24	22.6	
25	22.6	
26	22.5	
27	22.4	
28	22.5	
29	22.5	
30	22.7	
31	22.9	
32	23.1	
33	23.1	
34	23.3	
35	23.5	
36	23.7	
37	23.7	
38	23.8	
39	23.8	
40	23.8	
41	23.9	
42	23.8	
43	23.8	
44	23.7	
45	23.7	
46	23.7	
47	23.7	
48	23.7	
49	23.7	
50	23.6	
51	23.6	
52	23.6	
53	23.6	
54	23.4	
55	23.5	
56	23.4	
57	23.5	
58	23.5	
59	23.5	
60	23.5	
61	23.5	
62	23.5	
63	23.4	
64	23.4	
65	23.4	
66	23.4	
67	23.4	
68	23.5	
69	23.5	
70	23.5	
71	23.4	
72	23.4	
73	23.4	
74	23.4	
75	23.4	
76	23.3	
77	23.3	
78	23.3	
79	23.3	
80	23.3	
81	23.3	
82	23.3	
83	23.2	
84	23.2	
85	23.2	
86	23.2	
87	23.2	
88	23.2	
89	23.2	
90	23.2	
91	23.2	
92	23.2	
93	23.2	
94	23.2	
95	23.2	
96	23.2	
97	23.2	
98	23.2	
99	23.2	
100	23.2	
101	23.2	
102	23.1	
103	23.1	
104	23.1	
105	23.1	
106	23.1	
107	23.1	
108	23.1	
109	23.1	
110	23.1	
111	23.1	
112	23.0	
113	23.0	
114	23.0	
115	23.0	
116	23.0	
117	23.0	
118	23.0	
119	23.0	
120	23.0	
121	23.0	
122	23.0	
123	23.0	
124	23.0	
125	23.0	
126	23.1	
127	23.1	
128	23.1	
129	23.0	
130	23.0	
131	23.0	
132	23.0	
133	23.0	
134	22.9	
135	22.9	
136	22.9	
137	22.9	
138	22.9	
139	22.9	
140	22.8	
141	22.8	
142	22.8	
143	22.8	
144	22.9	
145	22.9	
146	22.9	
147	22.9	
148	22.9	
149	22.9	
150	22.9	
151	22.9	
152	22.9	
153	22.9	
154	22.9	
155	23.0	
156	23.0	
157	23.0	
158	22.9	
159	22.9	
160	22.9	
161	22.9	
162	22.9	
163	22.8	
164	22.9	
165	22.8	
166	22.8	
167	22.8	
168	22.8	
169	22.8	
170	22.8	
171	22.8	
172	22.7	
173	22.7	
174	22.7	
175	22.7	
176	22.7	
177	22.7	
178	22.8	
179	22.8	
180	22.8	
Vernier Format 2
gp.txt 2/4/126 15:9:22
Run 2
Time	Temperature	
T	T	
s	°C	

		
		
