Vernier Format 2
morningwall.txt 2/6/126 9:25:39
Run 1
Time	Illumination	
T	I	
s	lux	

0	183.5	
1	185.0	
2	213.0	
3	234.4	
4	260.2	
5	293.5	
6	309.0	
7	321.0	
8	319.1	
9	338.1	
10	349.0	
11	341.9	
12	345.4	
13	335.7	
14	363.9	
15	359.6	
16	355.7	
17	360.0	
18	362.9	
19	387.9	
20	378.8	
21	366.5	
22	392.6	
23	374.3	
24	404.4	
25	369.5	
26	363.9	
27	371.5	
28	356.4	
29	358.8	
30	349.9	
31	346.2	
32	358.8	
33	333.7	
34	325.5	
35	334.2	
36	313.9	
37	334.6	
38	299.7	
39	306.0	
40	242.2	
41	234.8	
42	172.5	
43	152.1	
44	123.0	
45	79.4	
46	86.5	
47	68.2	
48	42.8	
49	44.9	
