Vernier Format 2
morningwindow.txt 2/6/126 9:27:20
Run 1
Time	Illumination	
T	I	
s	lux	

0	171.2	
1	119.1	
2	127.3	
3	134.2	
4	154.4	
5	180.3	
6	204.8	
7	239.6	
8	269.1	
9	276.2	
10	304.2	
11	321.9	
12	320.8	
13	315.6	
14	290.4	
15	290.7	
16	301.8	
17	307.5	
18	299.3	
19	301.4	
20	279.6	
21	294.7	
22	239.6	
23	221.2	
24	205.3	
25	224.2	
26	197.8	
27	204.2	
28	210.0	
29	186.3	
30	192.1	
31	207.2	
32	232.2	
33	240.0	
34	237.2	
35	183.3	
36	175.5	
37	174.3	
38	176.2	
39	138.0	
40	167.8	
41	246.5	
42	280.3	
43	263.9	
44	95.8	
45	82.9	
