Vernier Format 2
nightwall.txt 2/4/126 18:28:41
Run 2
Time	Illumination	
T	I	
s	lux	

0	200.6	
1	235.2	
2	172.3	
3	292.8	
4	296.9	
5	275.1	
6	331.2	
7	331.2	
8	249.5	
9	251.2	
10	252.3	
11	248.4	
12	265.0	
13	261.1	
14	312.6	
15	320.0	
16	300.6	
17	282.2	
18	259.6	
19	258.1	
20	300.8	
21	262.6	
22	190.4	
23	197.8	
24	174.7	
25	176.6	
26	199.2	
27	125.6	
28	115.8	
29	120.1	
30	123.4	
31	159.0	
32	200.6	
33	191.1	
34	195.4	
35	194.1	
36	215.9	
37	263.7	
38	344.5	
39	399.5	
40	376.2	
41	380.9	
42	334.0	
43	328.4	
44	309.8	
45	250.3	
46	121.4	
47	107.6	
48	103.8	
49	37.4	
50	35.7	
