Vernier Format 2
nightwindow.txt 2/4/126 18:26:44
Run 1
Time	Illumination	
T	I	
s	lux	

0	29.0	
1	22.5	
2	12.8	
3	44.7	
4	65.8	
5	85.4	
6	87.0	
7	129.4	
8	203.1	
9	207.9	
10	257.5	
11	305.7	
12	449.5	
13	503.2	
14	460.0	
15	418.7	
16	401.8	
17	373.8	
18	327.5	
19	307.5	
20	330.9	
21	341.1	
22	357.5	
23	363.3	
24	334.6	
25	301.0	
26	279.2	
27	326.0	
28	367.8	
29	361.8	
30	352.3	
31	328.1	
32	288.0	
33	261.1	
34	242.1	
35	276.0	
36	291.5	
37	323.0	
38	368.4	
39	269.1	
40	198.2	
41	194.9	
42	217.2	
43	321.7	
44	484.4	
45	188.0	
46	130.3	
47	135.9	
