,,
,,follower-1
,,Linear Displacement1 (mm)
Frame,Time,Ref. Coordinate System: 
1,0.000,6.0000E+01
2,0.005,6.0000E+01
3,0.010,6.0000E+01
4,0.015,6.0000E+01
5,0.020,6.0000E+01
6,0.025,6.0000E+01
7,0.030,6.0002E+01
8,0.035,5.9938E+01
9,0.040,5.9694E+01
10,0.045,5.9274E+01
11,0.050,5.8687E+01
12,0.055,5.7948E+01
13,0.060,5.7075E+01
14,0.065,5.6089E+01
15,0.070,5.5014E+01
16,0.075,5.3878E+01
17,0.080,5.2708E+01
18,0.085,5.1532E+01
19,0.090,5.0381E+01
20,0.095,4.9281E+01
21,0.100,4.8261E+01
22,0.105,4.7345E+01
23,0.110,4.6556E+01
24,0.115,4.5914E+01
25,0.120,4.5433E+01
26,0.125,4.5127E+01
27,0.130,4.5005E+01
28,0.135,4.5001E+01
29,0.140,4.5000E+01
30,0.145,4.5000E+01
31,0.150,4.5000E+01
32,0.155,4.5000E+01
33,0.160,4.5000E+01
34,0.165,4.5000E+01
35,0.170,4.4998E+01
36,0.175,4.4985E+01
37,0.180,4.4952E+01
38,0.185,4.4891E+01
39,0.190,4.4796E+01
40,0.195,4.4657E+01
41,0.200,4.4469E+01
42,0.205,4.4229E+01
43,0.210,4.3932E+01
44,0.215,4.3578E+01
45,0.220,4.3164E+01
46,0.225,4.2693E+01
47,0.230,4.2166E+01
48,0.235,4.1587E+01
49,0.240,4.0962E+01
50,0.245,4.0296E+01
51,0.250,3.9597E+01
52,0.255,3.8873E+01
53,0.260,3.8131E+01
54,0.265,3.7382E+01
55,0.270,3.6635E+01
56,0.275,3.5898E+01
57,0.280,3.5180E+01
58,0.285,3.4490E+01
59,0.290,3.3837E+01
60,0.295,3.3225E+01
61,0.300,3.2663E+01
62,0.305,3.2153E+01
63,0.310,3.1699E+01
64,0.315,3.1304E+01
65,0.320,3.0968E+01
66,0.325,3.0689E+01
67,0.330,3.0466E+01
68,0.335,3.0295E+01
69,0.340,3.0171E+01
70,0.345,3.0086E+01
71,0.350,3.0035E+01
72,0.355,3.0010E+01
73,0.360,3.0001E+01
74,0.365,3.0000E+01
75,0.370,3.0000E+01
76,0.375,3.0000E+01
77,0.380,3.0000E+01
78,0.385,3.0000E+01
79,0.390,3.0000E+01
80,0.395,3.0000E+01
81,0.400,3.0000E+01
82,0.405,3.0000E+01
83,0.410,3.0000E+01
84,0.415,3.0004E+01
85,0.420,3.0110E+01
86,0.425,3.0382E+01
87,0.430,3.0813E+01
88,0.435,3.1399E+01
89,0.440,3.2135E+01
90,0.445,3.3012E+01
91,0.450,3.4020E+01
92,0.455,3.5148E+01
93,0.460,3.6384E+01
94,0.465,3.7715E+01
95,0.470,3.9126E+01
96,0.475,4.0600E+01
97,0.480,4.2123E+01
98,0.485,4.3678E+01
99,0.490,4.5248E+01
100,0.495,4.6814E+01
101,0.500,4.8360E+01
102,0.505,4.9870E+01
103,0.510,5.1326E+01
104,0.515,5.2713E+01
105,0.520,5.4016E+01
106,0.525,5.5219E+01
107,0.530,5.6311E+01
108,0.535,5.7279E+01
109,0.540,5.8112E+01
110,0.545,5.8802E+01
111,0.550,5.9340E+01
112,0.555,5.9722E+01
113,0.560,5.9942E+01
114,0.565,6.0002E+01
115,0.570,6.0000E+01
116,0.575,6.0000E+01
117,0.580,6.0000E+01
118,0.585,6.0000E+01
119,0.590,6.0000E+01
