,,
,,follower-1
,,Acceleration1 (mm/sec**2)
Frame,Time,Ref. Coordinate System: 
1,0.000,-1.0850E+04
2,0.005,-8.7613E+03
3,0.010,-5.6343E+03
4,0.015,-1.7974E+03
5,0.020,2.2371E+03
6,0.025,6.0082E+03
7,0.030,9.0528E+03
8,0.035,1.1017E+04
9,0.040,1.1609E+04
10,0.045,1.0877E+04
11,0.050,8.7336E+03
12,0.055,5.6427E+03
13,0.060,1.7697E+03
14,0.065,5.8302E+00
15,0.070,1.5393E+00
16,0.075,7.0206E-01
17,0.080,1.9271E-01
18,0.085,-2.2521E+00
19,0.090,1.4012E+00
20,0.095,1.7863E+00
21,0.100,-1.3340E+00
22,0.105,-2.9262E-01
23,0.110,6.4714E-01
24,0.115,-7.2008E-01
25,0.120,-1.5418E+00
26,0.125,-2.8061E+02
27,0.130,-7.8052E+02
28,0.135,-1.2548E+03
29,0.140,-1.6904E+03
30,0.145,-2.0772E+03
31,0.150,-2.3976E+03
32,0.155,-2.6499E+03
33,0.160,-2.8140E+03
34,0.165,-2.9035E+03
35,0.170,-2.8920E+03
36,0.175,-2.8011E+03
37,0.180,-2.6255E+03
38,0.185,-2.3666E+03
39,0.190,-2.0360E+03
40,0.195,-1.6474E+03
41,0.200,-1.2036E+03
42,0.205,-7.2701E+02
43,0.210,-2.2496E+02
44,0.215,2.8131E+02
45,0.220,7.7964E+02
46,0.225,1.2541E+03
47,0.230,1.6920E+03
48,0.235,2.0750E+03
49,0.240,2.3989E+03
50,0.245,2.6484E+03
51,0.250,2.8161E+03
52,0.255,2.9000E+03
53,0.260,2.8944E+03
54,0.265,2.8025E+03
55,0.270,2.6226E+03
56,0.275,2.3663E+03
57,0.280,2.0375E+03
58,0.285,1.6470E+03
59,0.290,1.2025E+03
60,0.295,7.2436E+02
61,0.300,2.2852E+02
62,0.305,-2.1212E+00
63,0.310,1.4616E-01
64,0.315,-9.9108E-02
65,0.320,-8.4005E-02
66,0.325,1.2269E-01
67,0.330,3.9221E-01
68,0.335,-2.1012E+00
69,0.340,1.2941E+00
70,0.345,3.8225E+00
71,0.350,4.6203E+00
72,0.355,1.1969E+03
73,0.360,3.1000E+03
74,0.365,4.6021E+03
75,0.370,5.6968E+03
76,0.375,6.4653E+03
77,0.380,6.9002E+03
78,0.385,7.0564E+03
79,0.390,6.9505E+03
80,0.395,6.6037E+03
81,0.400,6.0671E+03
82,0.405,5.3420E+03
83,0.410,4.4843E+03
84,0.415,3.4998E+03
85,0.420,2.4271E+03
86,0.425,1.2940E+03
87,0.430,1.3283E+02
88,0.435,-1.0383E+03
89,0.440,-2.1756E+03
90,0.445,-3.2651E+03
91,0.450,-4.2694E+03
92,0.455,-5.1633E+03
93,0.460,-5.9157E+03
94,0.465,-6.5053E+03
