,,
,,follower-1
,,Linear Displacement1 (mm)
Frame,Time,Ref. Coordinate System: 
1,0.000,4.7599E+01
2,0.005,4.6337E+01
3,0.010,4.4859E+01
4,0.015,4.3241E+01
5,0.020,4.1579E+01
6,0.025,3.9972E+01
7,0.030,3.8513E+01
8,0.035,3.7279E+01
9,0.040,3.6318E+01
10,0.045,3.5644E+01
11,0.050,3.5239E+01
12,0.055,3.5051E+01
13,0.060,3.5002E+01
14,0.065,3.5000E+01
15,0.070,3.5000E+01
16,0.075,3.5000E+01
17,0.080,3.5000E+01
18,0.085,3.5000E+01
19,0.090,3.5000E+01
20,0.095,3.5000E+01
21,0.100,3.5000E+01
22,0.105,3.5000E+01
23,0.110,3.5000E+01
24,0.115,3.5000E+01
25,0.120,3.5000E+01
26,0.125,3.5000E+01
27,0.130,3.4992E+01
28,0.135,3.4965E+01
29,0.140,3.4907E+01
30,0.145,3.4806E+01
31,0.150,3.4654E+01
32,0.155,3.4442E+01
33,0.160,3.4164E+01
34,0.165,3.3816E+01
35,0.170,3.3395E+01
36,0.175,3.2902E+01
37,0.180,3.2340E+01
38,0.185,3.1711E+01
39,0.190,3.1024E+01
40,0.195,3.0286E+01
41,0.200,2.9507E+01
42,0.205,2.8698E+01
43,0.210,2.7871E+01
44,0.215,2.7038E+01
45,0.220,2.6212E+01
46,0.225,2.5406E+01
47,0.230,2.4631E+01
48,0.235,2.3898E+01
49,0.240,2.3217E+01
50,0.245,2.2596E+01
51,0.250,2.2040E+01
52,0.255,2.1555E+01
53,0.260,2.1143E+01
54,0.265,2.0802E+01
55,0.270,2.0532E+01
56,0.275,2.0326E+01
57,0.280,2.0180E+01
58,0.285,2.0085E+01
59,0.290,2.0031E+01
60,0.295,2.0006E+01
61,0.300,2.0000E+01
62,0.305,2.0000E+01
63,0.310,2.0000E+01
64,0.315,2.0000E+01
65,0.320,2.0000E+01
66,0.325,2.0000E+01
67,0.330,2.0000E+01
68,0.335,2.0000E+01
69,0.340,2.0000E+01
70,0.345,2.0000E+01
71,0.350,2.0000E+01
72,0.355,2.0002E+01
73,0.360,2.0034E+01
74,0.365,2.0143E+01
75,0.370,2.0367E+01
76,0.375,2.0733E+01
77,0.380,2.1259E+01
78,0.385,2.1957E+01
79,0.390,2.2831E+01
80,0.395,2.3878E+01
81,0.400,2.5090E+01
82,0.405,2.6453E+01
83,0.410,2.7950E+01
84,0.415,2.9558E+01
85,0.420,3.1254E+01
86,0.425,3.3010E+01
87,0.430,3.4799E+01
88,0.435,3.6591E+01
89,0.440,3.8357E+01
90,0.445,4.0068E+01
91,0.450,4.1698E+01
92,0.455,4.3222E+01
93,0.460,4.4617E+01
94,0.465,4.5864E+01
95,0.470,4.6949E+01
96,0.475,4.7863E+01
97,0.480,4.8600E+01
98,0.485,4.9164E+01
99,0.490,4.9564E+01
100,0.495,4.9818E+01
101,0.500,4.9950E+01
102,0.505,4.9996E+01
103,0.510,5.0000E+01
104,0.515,5.0000E+01
105,0.520,5.0000E+01
106,0.525,5.0000E+01
107,0.530,5.0000E+01
108,0.535,5.0000E+01
109,0.540,5.0000E+01
110,0.545,5.0000E+01
111,0.550,5.0000E+01
112,0.555,5.0000E+01
113,0.560,5.0000E+01
114,0.565,5.0000E+01
115,0.570,5.0000E+01
116,0.575,4.9997E+01
117,0.580,4.9937E+01
118,0.585,4.9729E+01
119,0.590,4.9296E+01
