,,
,,follower-1
,,Velocity1 (mm/sec)
Frame,Time,Ref. Coordinate System: 
1,0.000,-2.2665E+02
2,0.005,-2.7621E+02
3,0.010,-3.1256E+02
4,0.015,-3.3133E+02
5,0.020,-3.3022E+02
6,0.025,-3.0939E+02
7,0.030,-2.7135E+02
8,0.035,-2.2068E+02
9,0.040,-1.6348E+02
10,0.045,-1.0671E+02
11,0.050,-5.7100E+01
12,0.055,-2.0799E+01
13,0.060,-1.9663E+00
14,0.065,1.3432E-02
15,0.070,-1.0208E-03
16,0.075,-1.0239E-03
17,0.080,-8.2913E-04
18,0.085,1.4615E-03
19,0.090,1.4406E-03
20,0.095,-5.8364E-04
21,0.100,-2.3444E-03
22,0.105,7.0641E-04
23,0.110,1.0449E-03
24,0.115,2.5055E-04
25,0.120,-4.6955E-04
26,0.125,-3.9077E-01
27,0.130,-3.0511E+00
28,0.135,-8.1461E+00
29,0.140,-1.5529E+01
30,0.145,-2.4971E+01
31,0.150,-3.6190E+01
32,0.155,-4.8835E+01
33,0.160,-6.2535E+01
34,0.165,-7.6860E+01
35,0.170,-9.1385E+01
36,0.175,-1.0567E+02
37,0.180,-1.1927E+02
38,0.185,-1.3178E+02
39,0.190,-1.4282E+02
40,0.195,-1.5205E+02
41,0.200,-1.5919E+02
42,0.205,-1.6403E+02
43,0.210,-1.6641E+02
44,0.215,-1.6628E+02
45,0.220,-1.6362E+02
46,0.225,-1.5852E+02
47,0.230,-1.5114E+02
48,0.235,-1.4169E+02
49,0.240,-1.3048E+02
50,0.245,-1.1783E+02
51,0.250,-1.0413E+02
52,0.255,-8.9805E+01
53,0.260,-7.5278E+01
54,0.265,-6.1001E+01
55,0.270,-4.7395E+01
56,0.275,-3.4890E+01
57,0.280,-2.3847E+01
58,0.285,-1.4619E+01
59,0.290,-7.4759E+00
60,0.295,-2.6385E+00
61,0.300,-2.4774E-01
62,0.305,2.7955E-04
63,0.310,5.9150E-04
64,0.315,1.6019E-04
65,0.320,-2.8501E-04
66,0.325,-6.7776E-04
67,0.330,-2.3898E-04
68,0.335,5.5872E-05
