,,
,,follower-1
,,Acceleration1 (mm/sec**2)
Frame,Time,Ref. Coordinate System: 
1,0.000,-1.2112E+02
2,0.005,1.1017E+02
3,0.010,-1.8089E+02
4,0.015,1.4332E+02
5,0.020,-7.4387E+01
6,0.025,1.4910E+02
7,0.030,-2.3343E+03
8,0.035,-8.1160E+03
9,0.040,-7.1807E+03
10,0.045,-6.5317E+03
11,0.050,-6.0363E+03
12,0.055,-5.4528E+03
13,0.060,-4.5346E+03
14,0.065,-3.5458E+03
15,0.070,-2.5313E+03
16,0.075,-1.2776E+03
17,0.080,-2.2989E+02
18,0.085,9.9377E+02
19,0.090,2.0061E+03
20,0.095,3.2225E+03
21,0.100,4.0572E+03
22,0.105,5.1720E+03
23,0.110,5.9926E+03
24,0.115,6.3363E+03
25,0.120,7.0658E+03
26,0.125,7.3165E+03
27,0.130,4.8615E+03
28,0.135,-6.5083E+02
29,0.140,1.6435E+01
30,0.145,1.1014E+01
31,0.150,1.8046E+02
32,0.155,-1.9584E+02
33,0.160,-3.8210E+01
34,0.165,-1.6254E+00
35,0.170,-5.6102E+02
36,0.175,-6.5214E+02
37,0.180,-1.2807E+03
38,0.185,-1.2330E+03
39,0.190,-1.6511E+03
40,0.195,-2.0348E+03
41,0.200,-2.0516E+03
42,0.205,-2.2934E+03
43,0.210,-2.2476E+03
44,0.215,-2.4985E+03
45,0.220,-2.2121E+03
46,0.225,-2.3310E+03
47,0.230,-2.0447E+03
48,0.235,-1.8819E+03
49,0.240,-1.6857E+03
50,0.245,-1.2793E+03
51,0.250,-1.0117E+03
52,0.255,-6.8894E+02
53,0.260,-4.0755E+02
54,0.265,2.3289E+02
55,0.270,4.4219E+02
56,0.275,7.3249E+02
57,0.280,1.0078E+03
58,0.285,1.5376E+03
59,0.290,1.7679E+03
60,0.295,1.8702E+03
61,0.300,2.0226E+03
62,0.305,2.3660E+03
63,0.310,2.4159E+03
64,0.315,2.3145E+03
65,0.320,2.2988E+03
66,0.325,2.2853E+03
67,0.330,2.1708E+03
68,0.335,1.8006E+03
69,0.340,1.5880E+03
70,0.345,1.3650E+03
71,0.350,1.1491E+03
72,0.355,5.7251E+02
73,0.360,2.2524E+02
74,0.365,4.4702E+01
75,0.370,-5.7895E+01
76,0.375,-7.3083E+01
77,0.380,1.3368E+02
78,0.385,-1.5993E+02
79,0.390,-3.1400E+01
80,0.395,8.7274E+01
81,0.400,1.1702E+02
82,0.405,-8.5313E+01
83,0.410,-4.1438E+02
84,0.415,4.1383E+03
85,0.420,6.6127E+03
86,0.425,6.4215E+03
87,0.430,6.1866E+03
88,0.435,6.0398E+03
89,0.440,5.6572E+03
90,0.445,5.2521E+03
91,0.450,4.7731E+03
92,0.455,4.4158E+03
93,0.460,3.9191E+03
94,0.465,3.0216E+03
