,,
,,follower-1
,,Velocity2 (mm/sec)
Frame,Time,Ref. Coordinate System: 
1,0.000,1.4271E-01
2,0.005,-1.4417E-01
3,0.010,2.0520E-01
4,0.015,-1.1156E-01
5,0.020,1.1990E-01
6,0.025,-1.9659E-01
7,0.030,-1.0477E+00
8,0.035,-3.0267E+01
9,0.040,-6.6380E+01
10,0.045,-1.0090E+02
11,0.050,-1.3339E+02
12,0.055,-1.6201E+02
13,0.060,-1.8655E+02
14,0.065,-2.0694E+02
15,0.070,-2.2201E+02
16,0.075,-2.3152E+02
17,0.080,-2.3561E+02
18,0.085,-2.3367E+02
19,0.090,-2.2590E+02
20,0.095,-2.1305E+02
21,0.100,-1.9413E+02
22,0.105,-1.7114E+02
23,0.110,-1.4377E+02
24,0.115,-1.1285E+02
25,0.120,-7.8935E+01
26,0.125,-4.3505E+01
27,0.130,-7.4311E+00
28,0.135,2.2142E-01
29,0.140,9.2808E-02
30,0.145,1.1891E-01
31,0.150,-1.6230E-01
32,0.155,-1.6203E-01
33,0.160,1.4761E-01
34,0.165,-9.1705E-02
35,0.170,-1.1050E+00
36,0.175,-4.2475E+00
37,0.180,-9.0953E+00
38,0.185,-1.5164E+01
39,0.190,-2.3442E+01
40,0.195,-3.2527E+01
41,0.200,-4.2666E+01
42,0.205,-5.3504E+01
43,0.210,-6.5089E+01
44,0.215,-7.7067E+01
45,0.220,-8.8460E+01
46,0.225,-9.9986E+01
47,0.230,-1.1067E+02
48,0.235,-1.2058E+02
49,0.240,-1.2928E+02
50,0.245,-1.3677E+02
51,0.250,-1.4259E+02
52,0.255,-1.4687E+02
53,0.260,-1.4943E+02
54,0.265,-1.4983E+02
55,0.270,-1.4876E+02
56,0.275,-1.4587E+02
57,0.280,-1.4086E+02
58,0.285,-1.3447E+02
59,0.290,-1.2682E+02
60,0.295,-1.1765E+02
61,0.300,-1.0738E+02
62,0.305,-9.6143E+01
63,0.310,-8.5199E+01
64,0.315,-7.3079E+01
65,0.320,-6.1467E+01
66,0.325,-4.9841E+01
67,0.330,-3.9413E+01
68,0.335,-2.9493E+01
69,0.340,-2.0585E+01
70,0.345,-1.3225E+01
71,0.350,-7.5058E+00
72,0.355,-3.2051E+00
73,0.360,-4.8739E-01
74,0.365,-2.0617E-01
75,0.370,2.9209E-01
76,0.375,-2.7220E-01
77,0.380,1.1821E-01
78,0.385,-1.1372E-01
79,0.390,-2.0691E-02
80,0.395,2.7004E-01
81,0.400,-2.6708E-01
82,0.405,-6.4346E-03
83,0.410,-1.2336E-01
84,0.415,6.0247E+00
85,0.420,3.8549E+01
86,0.425,7.0293E+01
87,0.430,1.0192E+02
88,0.435,1.3256E+02
89,0.440,1.6148E+02
90,0.445,1.8888E+02
91,0.450,2.1395E+02
92,0.455,2.3715E+02
93,0.460,2.5692E+02
94,0.465,2.7443E+02
95,0.470,2.8936E+02
96,0.475,3.0006E+02
97,0.480,3.0858E+02
98,0.485,3.1297E+02
99,0.490,3.1413E+02
100,0.495,3.1168E+02
101,0.500,3.0623E+02
102,0.505,2.9716E+02
103,0.510,2.8473E+02
104,0.515,2.6936E+02
105,0.520,2.5128E+02
106,0.525,2.3004E+02
107,0.530,2.0635E+02
108,0.535,1.8047E+02
109,0.540,1.5250E+02
110,0.545,1.2287E+02
111,0.550,9.2217E+01
112,0.555,6.0271E+01
113,0.560,2.7412E+01
114,0.565,1.2576E+00
115,0.570,-2.6680E-03
116,0.575,2.4757E-01
117,0.580,-2.0206E-01
118,0.585,6.6920E-03
119,0.590,1.3183E-02
120,0.595,-7.6159E-02
121,0.600,1.4271E-01
122,0.605,-1.4417E-01
123,0.610,2.0520E-01
124,0.615,-1.1156E-01
125,0.620,1.1990E-01
126,0.625,-1.9659E-01
127,0.630,-1.0477E+00
128,0.635,-3.0267E+01
129,0.640,-6.6380E+01
130,0.645,-1.0090E+02
131,0.650,-1.3339E+02
132,0.655,-1.6201E+02
133,0.660,-1.8655E+02
134,0.665,-2.0694E+02
135,0.670,-2.2201E+02
136,0.675,-2.3152E+02
137,0.680,-2.3561E+02
138,0.685,-2.3367E+02
139,0.690,-2.2590E+02
140,0.695,-2.1305E+02
141,0.700,-1.9413E+02
142,0.705,-1.7114E+02
143,0.710,-1.4377E+02
144,0.715,-1.1285E+02
145,0.720,-7.8935E+01
146,0.725,-4.3505E+01
147,0.730,-7.4311E+00
148,0.735,2.2142E-01
149,0.740,9.2808E-02
150,0.745,1.1891E-01
151,0.750,-1.6230E-01
152,0.755,-1.6203E-01
153,0.760,1.4761E-01
154,0.765,-9.1705E-02
155,0.770,-1.1050E+00
156,0.775,-4.2475E+00
157,0.780,-9.0953E+00
158,0.785,-1.5164E+01
159,0.790,-2.3442E+01
160,0.795,-3.2527E+01
161,0.800,-4.2666E+01
162,0.805,-5.3504E+01
163,0.810,-6.5089E+01
164,0.815,-7.7067E+01
165,0.820,-8.8460E+01
166,0.825,-9.9986E+01
167,0.830,-1.1067E+02
168,0.835,-1.2058E+02
169,0.840,-1.2928E+02
170,0.845,-1.3677E+02
171,0.850,-1.4259E+02
172,0.855,-1.4687E+02
173,0.860,-1.4943E+02
174,0.865,-1.4983E+02
175,0.870,-1.4876E+02
176,0.875,-1.4587E+02
177,0.880,-1.4086E+02
178,0.885,-1.3447E+02
179,0.890,-1.2682E+02
180,0.895,-1.1765E+02
181,0.900,-1.0738E+02
182,0.905,-9.6143E+01
183,0.910,-8.5199E+01
184,0.915,-7.3079E+01
185,0.920,-6.1467E+01
186,0.925,-4.9841E+01
187,0.930,-3.9413E+01
188,0.935,-2.9493E+01
189,0.940,-2.0585E+01
190,0.945,-1.3225E+01
191,0.950,-7.5058E+00
192,0.955,-3.2051E+00
193,0.960,-4.8739E-01
194,0.965,-2.0617E-01
195,0.970,2.9209E-01
196,0.975,-2.7220E-01
197,0.980,1.1821E-01
198,0.985,-1.1372E-01
199,0.990,-2.0691E-02
200,0.995,2.7004E-01
201,1.000,-2.6708E-01
202,1.005,-6.4346E-03
203,1.010,-1.2336E-01
204,1.015,6.0247E+00
205,1.020,3.8549E+01
206,1.025,7.0293E+01
207,1.030,1.0192E+02
208,1.035,1.3256E+02
209,1.040,1.6148E+02
210,1.045,1.8888E+02
211,1.050,2.1395E+02
212,1.055,2.3715E+02
213,1.060,2.5692E+02
214,1.065,2.7443E+02
215,1.070,2.8936E+02
216,1.075,3.0006E+02
217,1.080,3.0858E+02
218,1.085,3.1297E+02
219,1.090,3.1413E+02
220,1.095,3.1168E+02
221,1.100,3.0623E+02
222,1.105,2.9716E+02
223,1.110,2.8473E+02
