"Plot5"
"Time (sec)","Acceleration1 (mm/sec**2)"
0,-4040.61289736282
0.005,-2397.76989520182
0.01,-336.222664017756
0.015,0.796456550157734
0.02,-0.210641579721091
0.025,0.519054523140454
0.03,-1.50771109146459
0.035,1.23258271834653
0.04,1.67557215658669
0.045,-1.02907127359315
0.05,-1.39310664011656
0.055,1.33786732683668
0.06,0.144426118039891
0.065,0.294001494188727
0.07,-2.38817822376519
0.075,-762.080398702475
0.08,-4685.18532450543
0.085,-8027.80610055397
0.09,-10437.0274513541
0.095,-11548.4495641807
0.1,-11299.6814518374
0.105,-9681.26929871943
0.11,-6883.97628519594
0.115,-3264.74422146329
0.12,753.443880907517
0.125,4678.98659474686
0.13,8041.31352669741
0.135,10424.8584643334
0.14,11570.9412775268
0.145,11283.8669562062
0.15,9679.95474722321
0.155,6869.78238575924
0.16,3268.70789618701
0.165,10.8722515624524
0.17,2.5760583436318
0.175,-2.39484935860874
0.18,0.0253639912481472
0.185,0.418882423859213
0.19,0.967912845412323
0.195,-0.548949145938392
0.2,-1.40367230834045
0.205,0.9322955099352
0.21,1.09018224976936
0.215,-1.41752599822075
0.22,-3.0807094877058
0.225,-86.8702058710259
0.23,-598.610718938836
0.235,-1081.73318072172
0.24,-1534.34018992035
0.245,-1941.00071845317
0.25,-2290.0773384083
0.255,-2563.10568644633
0.26,-2764.3492916305
0.265,-2879.25472399903
0.27,-2906.76940907811
0.275,-2846.54783215417
0.28,-2700.86963433858
0.285,-2470.25782798348
0.29,-2167.38150096967
0.295,-1795.9452553167
0.3,-1372.11573064945
0.305,-905.2598395042
0.31,-412.327203728675
0.315,94.8702295089755
0.32,597.778601394185
0.325,1082.19336780769
0.33,1535.0219373937
0.335,1941.31968313742
0.34,2287.13039212517
0.345,2565.37373813392
0.35,2764.90150928207
0.355,2879.31286731726
0.36,2909.15028087674
0.365,2845.36490176688
0.37,2700.83779895741
0.375,2469.74227434878
0.38,2166.70108806571
0.385,1796.37422924681
0.39,1372.49871017708
0.395,905.304728219669
0.4,411.894630750676
0.405,-10.9658756255792
0.41,0.392326394554731
0.415,0.286188695719605
0.42,-0.48382608318774
0.425,0.533990756191297
0.43,-0.408632127142236
0.435,-0.414075714711426
0.44,1.47353659515293
0.445,-1.01663158983361
0.45,-9.38116565370786
0.455,348.238618260186
0.46,2457.26732986908
0.465,4092.79026729451
0.47,5334.55307541536
0.475,6216.92175522565
0.48,6775.71773935358
0.485,7031.16693350782
0.49,7014.1510587767
0.495,6760.91538190558
0.5,6288.17285184898
0.505,5629.16039463445
0.51,4815.76441052156
0.515,3872.90758603689
0.52,2830.08833057596
0.525,1718.8168103376
0.53,561.957124417397
0.535,-606.154217435404
0.54,-1761.6093980809
0.545,-2870.48482491268
0.55,-3910.6575464874
0.555,-4846.98784583731
0.56,-5657.44629046774
0.565,-6305.9590683572
0.57,-6771.92185278437
0.575,-7019.45593089071
0.58,-7025.06600998744
0.585,-6760.21909630936
0.59,-6192.051182005
0.595,-5294.19743199791
0.6,-4040.61289751471
0.605,-2397.76989520391
0.61,-336.222664017564
0.615,0.796456549744172
0.62,-0.210641578207324
0.625,0.519054523942248
0.63,-1.50771108626031
0.635,1.2325827216375
0.64,1.67557215460752
0.645,-1.02907127355631
0.65,-1.39310665230124
0.655,1.33786731695175
0.66,0.144426112514284
0.665,0.29400148482788
0.67,-2.38817823783836
0.675,-762.080398705506
0.68,-4685.18532451247
0.685,-8027.8061005541
0.690000000000001,-10437.0274513542
0.695000000000001,-11548.4495641905
0.700000000000001,-11299.6814518037
0.705000000000001,-9681.26929871947
0.710000000000001,-6883.97628518701
0.715000000000001,-3264.74422146313
0.720000000000001,753.443880907339
0.725000000000001,4678.98659473359
0.730000000000001,8041.3135266765
0.735000000000001,10424.8584643871
0.740000000000001,11570.9412775237
0.745000000000001,11283.8669562194
0.750000000000001,9679.95474723181
0.755000000000001,6869.78238574343
0.760000000000001,3268.70789617467
0.765000000000001,10.8722515656146
0.770000000000001,2.57605833917383
0.775000000000001,-2.39484935861876
0.780000000000001,0.0253639736770659
0.785000000000001,0.418882431863456
0.790000000000001,0.967912851624629
0.795000000000001,-0.548949137332622
0.800000000000001,-1.40367231720955
0.805000000000001,0.932295539287335
0.810000000000001,1.09018225162161
0.815000000000001,-1.41752601285053
0.820000000000001,-3.08070949424487
0.825000000000001,-86.8702058873895
0.830000000000001,-598.61071895703
0.835000000000001,-1081.73318072182
0.840000000000001,-1534.34018993561
0.845000000000001,-1941.00071845974
0.850000000000001,-2290.07733842262
0.855000000000001,-2563.10568646064
0.860000000000001,-2764.34929164969
0.865000000000001,-2879.25472401467
0.870000000000001,-2906.76940907829
0.875000000000001,-2846.54783215411
0.880000000000001,-2700.86963433111
0.885000000000001,-2470.25782798899
0.890000000000001,-2167.38150098432
0.895000000000001,-1795.94525530218
0.900000000000001,-1372.11573064939
0.905000000000001,-905.259839473063
0.910000000000001,-412.327203728847
0.915000000000001,94.8702295309151
0.920000000000001,597.778601394225
0.925000000000001,1082.19336779616
0.930000000000001,1535.02193738094
0.935000000000001,1941.31968314007
0.940000000000001,2287.130392116
