"Plot3"
"Time (sec)","Linear Displacement3 (mm)"
0,59.9130440244804
0.005,59.9860523457085
0.01,59.9999657092577
0.015,60.0000449878125
0.02,60.0003735215533
0.025,59.999999172847
0.03,60.0000048951222
0.035,59.9999986143387
0.04,59.9999961594295
0.045,59.9999992002717
0.05,60.0000005331117
0.055,59.9999993434845
0.06,60.000002417493
0.065,59.9999994441678
0.07,60.000001267946
0.075,59.9999026385642
0.08,59.9720438566286
0.085,59.8286598347075
0.09,59.4857560724742
0.095,58.8849527736254
0.1,57.9979520067149
0.105,56.831212721594
0.11,55.4249369614901
0.115,53.8484240680611
0.12,52.190861883075
0.125,50.5520097537838
0.13,49.0289732377996
0.135,47.7049293808169
0.14,46.6390463023016
0.145,45.8594423224085
0.15,45.3596968548543
0.155,45.0994065028841
0.16,45.0093864693591
0.165,45.0000441155499
0.17,44.9999988583131
0.175,45.000004271927
0.18,44.999995290871
0.185,44.9999978384864
0.19,44.9999984066421
0.195,44.999999436324
0.2,45.0000014110171
0.205,44.999995066885
0.21,44.999996476774
0.215,45.000002082187
0.22,45.000003390461
0.225,44.9999811832543
0.23,44.9965246979257
0.235,44.9780850922828
0.24,44.9326631910484
0.245,44.8489654627957
0.25,44.7168756079887
0.255,44.5277253091703
0.26,44.2746243438677
0.265,43.9525897010343
0.27,43.5587421901613
0.275,43.0923991185821
0.28,42.5550692438473
0.285,41.9504090831985
0.29,41.2841404507645
0.295,40.5638432757755
0.3,39.798746633919
0.305,38.999433007573
0.31,38.1775335377775
0.315,37.3453517949003
0.32,36.5155295023949
0.325,35.7006035116029
0.33,34.9126761705363
0.335,34.1630389310296
0.34,33.4618056108339
0.345,32.8176133490619
0.35,32.2373849877281
0.355,31.7260915063043
0.36,31.2865991389075
0.365,30.9196137709938
0.37,30.6236107312743
0.375,30.3949379137952
0.38,30.2278697656862
0.385,30.1148283432011
0.39,30.046595369381
0.395,30.0125757213758
0.4,30.0011421602896
0.405,30.0000050016112
0.41,30.0000016530726
0.415,30.0000006629897
0.42,30.0000034520879
0.425,29.9999999175381
0.43,30.0000038490886
0.435,30.0000030782891
0.44,29.9999950244293
0.445,29.999999740945
0.45,30.0000063482778
0.455,30.0000948122392
0.46,30.0153505478232
