"Plot4"
"Time (sec)","Velocity1 (mm/sec)"
0,23.4214390514646
0.005,7.15144687509996
0.01,0.127566578776956
0.015,-0.000360749216737291
0.02,0.000297694387994858
0.025,-4.49743836827303e-05
0.03,0.000613184922186383
0.035,0.00113636951134246
0.04,-0.00158952024972214
0.045,-0.00195373505035091
0.05,0.00215719502103521
0.055,0.00195651538985605
0.06,-0.00156420579861232
0.065,-0.000144816807402462
0.07,-0.00127291241347417
0.075,-0.333877952694089
0.08,-14.0712177776431
0.085,-46.2026917321464
0.09,-92.8356586569948
0.095,-148.432407958559
0.1,-206.153802004106
0.105,-259.179807650361
0.11,-301.00467353716
0.115,-326.640771581214
0.12,-332.986629031209
0.125,-319.262642219944
0.13,-287.138186600587
0.135,-240.47182426474
0.14,-184.939659111011
0.145,-127.138873825378
0.15,-74.1888769287857
0.155,-32.3027789084422
0.16,-6.70873391283815
0.165,-0.00716141815996836
0.17,-0.0054759565499691
0.175,-0.00148983416332391
0.18,-6.7579012383061e-05
0.185,0.00209253197836909
0.19,-0.00127104367006632
0.195,-0.00111380912945339
0.2,0.00125797485576044
0.205,-0.000687094139346421
0.21,0.00149563166216649
0.215,-0.0034525668721445
0.22,0.00263823550598063
0.225,-0.0443685842883836
0.23,-1.77825099009997
0.235,-5.98687849741972
0.24,-12.5539598602751
0.245,-21.2664190504664
0.25,-31.8600222124514
0.255,-44.0265722734875
0.26,-57.3809996451738
0.265,-71.529110816279
0.27,-86.0321383506789
0.275,-100.45703794199
0.28,-114.352916500153
0.285,-127.31762074322
0.29,-138.937008674123
0.295,-148.871334884107
0.3,-156.813962552041
0.305,-162.521352449916
0.31,-165.827492124097
0.315,-166.621940566865
0.32,-164.887865829753
0.325,-160.678939704847
0.33,-154.11471006742
0.335,-145.400962201655
0.34,-134.804302375754
0.345,-122.639245779029
0.35,-109.286414399166
0.355,-95.1343543546778
0.36,-80.6381979114218
0.365,-66.2115107075493
0.37,-52.3107905186781
0.375,-39.3509480864805
0.38,-27.729863431519
0.385,-17.793057745142
0.39,-9.85271056170893
0.395,-4.14566790402805
0.4,-0.83912265245964
0.405,0.00436624257261307
0.41,-0.00122106068343433
0.415,0.000765384256370186
0.42,-0.000303087808935153
0.425,-0.000102204706785075
0.43,0.00101531098967443
0.435,-0.00138038601306833
0.44,-0.000227814529196971
0.445,-0.00113078925874443
0.45,-0.00419769379668509
0.455,0.236350740482574
0.46,7.61186991428539
0.465,24.1958372416976
0.47,47.912365980674
0.475,76.9620749194979
